Регион,Раздел,Название документа,Ссылка,Теги
Российские,Черепно-мозговая травма,Сотрясение головного мозга,https://cr.minzdrav.gov.ru/preview-cr/734_2,""
Российские,Черепно-мозговая травма,Очаговая травма головного мозга,https://cr.minzdrav.gov.ru/preview-cr/732_2,""
Российские,Черепно-мозговая травма,Тяжелая черепно-мозговая травма,https://ruans.org/Text/Guidelines/head_injury.pdf,""
Российские,Черепно-мозговая травма,Множественные переломы черепа,https://cr.minzdrav.gov.ru/preview-cr/871_1,""
Российские,Черепно-мозговая травма,Открытые раны головы,https://cr.minzdrav.gov.ru/preview-cr/733_2,""
Российские,Черепно-мозговая травма,Хронические субдуральные гематомы,https://ruans.org/Text/Guidelines/hsdh.pdf,""
Российские,Черепно-мозговая травма,Посттравматическая гидроцефалия,https://ruans.org/Text/Guidelines/posttraumatic_hydrocephalus.pdf,""
Российские,Нейроонкология,Первичные опухоли ЦНС (взрослые),https://cr.minzdrav.gov.ru/preview-cr/585_2,""
Российские,Нейроонкология,Аденомы гипофиза,https://ruans.org/Text/Guidelines/pituitary-adenoma-2025.pdf,""
Российские,Нейроонкология,Невриномы слухового нерва,https://ruans.org/Text/Guidelines/schwannoma.pdf,""
Российские,Нейроонкология,Метастатическое поражение головного мозга,https://cr.minzdrav.gov.ru/preview-cr/534_3,""
Российские,Сосудистая нейрохирургия,Геморрагический инсульт (включая разрыв аневризм),https://cr.minzdrav.gov.ru/preview-cr/523_3,""
Российские,Сосудистая нейрохирургия,Неразорвавшиеся аневризмы головного мозга,https://ruans.org/Text/Guidelines/aneurysms_unruptured.pdf,""
Российские,Сосудистая нейрохирургия,Артериовенозные мальформации (АВМ),https://cr.minzdrav.gov.ru/preview-cr/848_1,""
Российские,Сосудистая нейрохирургия,Ишемический инсульт и ТИА,https://cr.minzdrav.gov.ru/preview-cr/814_1,""
Российские,Спинальная нейрохирургия,Дегенеративные заболевания позвоночника,https://cr.minzdrav.gov.ru/preview-cr/826_1,""
Российские,Спинальная нейрохирургия,Спондилогенная шейная миелопатия,https://ruans.org/Text/Guidelines/cervical_myelopathy.pdf,""
Российские,Спинальная нейрохирургия,Перелом грудного и поясничного отделов,https://cr.minzdrav.gov.ru/preview-cr/448_4,""
Российские,Спинальная нейрохирургия,Вывих шейного позвонка,https://cr.minzdrav.gov.ru/preview-cr/809_1,""
Российские,Спинальная нейрохирургия,Первичные опухоли позвоночника,https://ruans.org/Text/Guidelines/vertebral_tumors.pdf,""
Российские,Спинальная нейрохирургия,Метастатическое поражение позвоночника,https://ruans.org/Text/Guidelines/spinal_metastasis.pdf,""
Российские,Функциональная нейрохирургия и Эпилепсия,Эпилепсия и эпилептический статус,https://cr.minzdrav.gov.ru/preview-cr/741_1,""
Российские,Функциональная нейрохирургия и Эпилепсия,Болезнь Паркинсона и паркинсонизм,https://cr.minzdrav.gov.ru/preview-cr/716_1,""
Российские,Функциональная нейрохирургия и Эпилепсия,Нормотензивная гидроцефалия у взрослых,https://ruans.org/Text/Guidelines/hydrocephalus_adults.pdf,""
Российские,Функциональная нейрохирургия и Эпилепсия,Мальформация Киари у взрослых,https://ruans.org/Text/Guidelines/chiari_malformation_adults.pdf,""
Российские,Периферическая Нервная система,Мононевропатии,https://cr.minzdrav.gov.ru/preview-cr/988_1,""
Российские,Инфекции и Прочее,Абсцессы и эмпиемы головного мозга,https://ruans.org/Text/Guidelines/abscess.pdf,""
Российские,Инфекции и Прочее,Доброкачественная внутричерепная гипертензия,https://ruans.org/Text/Guidelines/benign_intracranial_hypertension.pdf,""
Международные,Нейроонкология (NCCN/ASCO/EANO),NCCN Guidelines: CNS Cancers (Adults),https://www.nccn.org/professionals/physician_gls/pdf/cns.pdf,""
Международные,Нейроонкология (NCCN/ASCO/EANO),GBM: Newly Diagnosed (CNS),https://www.cns.org/guidelines/management-newly-diagnosed-glioblastoma/Intro-newly%20diagnosed%20glioblastoma,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Brain Mets: ASCO/SNO/ASTRO Guidelines,https://academic.oup.com/neuro-oncology/advance-article-abstract/doi/10.1093/neuonc/noab262/6470731,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Meningiomas (EANO),https://www.eano.eu/publications/eano-guidelines/eano-guideline-on-the-diagnosis-and-management-of-meningiomas/#c2503,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Functioning Pituitary Adenomas (CNS),https://www.cns.org/guidelines/management-of-patients-with-functioning-pituitary-adenomas/role-of-medical-management-patients-with-functioni,""
Международные,Нейроонкология (NCCN/ASCO/EANO),Vestibular Schwannoma (CNS),https://www.cns.org/guidelines/treatment-adults-vestibular-schwannoma/congress-of-neurological-surgeons-evidence-based-c,""
Международные,Сосудистая патология (AHA/ESO/SNIS),Aneurysmal SAH (AHA 2023),https://www.ahajournals.org/doi/10.1161/STR.0000000000000436,""
