Регион,Раздел,Название документа,Ссылка,Теги
Российские,Черепно-мозговая травма,Сотрясение головного мозга,https://cr.minzdrav.gov.ru/preview-cr/734_2,""
Российские,Черепно-мозговая травма,Очаговая травма головного мозга,https://cr.minzdrav.gov.ru/preview-cr/732_2,""
Российские,Черепно-мозговая травма,Тяжелая черепно-мозговая травма,https://ruans.org/Text/Guidelines/head_injury.pdf,""
Российские,Черепно-мозговая травма,Множественные переломы черепа,https://cr.minzdrav.gov.ru/preview-cr/871_1,""
Российские,Черепно-мозговая травма,Открытые раны головы,https://cr.minzdrav.gov.ru/preview-cr/733_2,""
Российские,Черепно-мозговая травма,Хронические субдуральные гематомы,https://ruans.org/Text/Guidelines/hsdh.pdf,""
Российские,Черепно-мозговая травма,Посттравматическая гидроцефалия,https://ruans.org/Text/Guidelines/posttraumatic_hydrocephalus.pdf,""
Российские,Черепно-мозговая травма,Посттравматическая базальная ликворея,https://ruans.org/Text/Guidelines/posttraumatic_liquorea.pdf,""
Российские,Черепно-мозговая травма,Огнестрельные ранения черепа и головного мозга,https://ruans.org/Text/Guidelines/gun_wounds.pdf,""
Российские,Нейроонкология,Первичные опухоли ЦНС (взрослые),https://cr.minzdrav.gov.ru/preview-cr/585_2,""
Российские,Нейроонкология,Аденомы гипофиза,https://ruans.org/Text/Guidelines/pituitary-adenoma-2025.pdf,""
Российские,Нейроонкология,Невриномы слухового нерва,https://ruans.org/Text/Guidelines/schwannoma.pdf,""
Российские,Нейроонкология,Опухоли ствола мозга,https://ruans.org/Text/Guidelines/brainstem_tumors.pdf,""
Российские,Нейроонкология,Метастатическое поражение головного мозга,https://cr.minzdrav.gov.ru/preview-cr/534_3,""
Российские,Нейроонкология,Герминативно-клеточные опухоли ЦНС,https://ruans.org/Text/Guidelines/gko.pdf,""
Российские,Нейроонкология,Доброкачественные образования головы и шеи,https://cr.minzdrav.gov.ru/preview-cr/842_1,""
Российские,Сосудистая нейрохирургия,Геморрагический инсульт (включая разрыв аневризм),https://cr.minzdrav.gov.ru/preview-cr/523_3,""
Российские,Сосудистая нейрохирургия,Неразорвавшиеся аневризмы головного мозга,https://ruans.org/Text/Guidelines/aneurysms_unruptured.pdf,""
Российские,Сосудистая нейрохирургия,Артериовенозные мальформации (АВМ),https://cr.minzdrav.gov.ru/preview-cr/848_1,""
Российские,Сосудистая нейрохирургия,Кавернозные мальформации,https://ruans.org/Text/Guidelines/cavernoma.pdf,""
Российские,Сосудистая нейрохирургия,Ишемический инсульт и ТИА,https://cr.minzdrav.gov.ru/preview-cr/814_1,""
Российские,Сосудистая нейрохирургия,Внутрисосудистое лечение ишемического инсульта,https://ruans.org/Text/Guidelines/ischemic_stroke.pdf,""
Российские,Сосудистая нейрохирургия,Стенозирующие поражения магистральных артерий,https://ruans.org/Text/Guidelines/stenosis.pdf,""
Российские,Сосудистая нейрохирургия,Внутричерепные кровоизлияния у беременных,https://ruans.org/Text/Guidelines/sah_pregnant.pdf,""
Российские,Спинальная нейрохирургия,Дегенеративные заболевания позвоночника,https://cr.minzdrav.gov.ru/preview-cr/826_1,""
Российские,Спинальная нейрохирургия,Спондилогенная шейная миелопатия,https://ruans.org/Text/Guidelines/cervical_myelopathy.pdf,""
Российские,Спинальная нейрохирургия,Перелом грудного и поясничного отделов,https://cr.minzdrav.gov.ru/preview-cr/448_4,""
Российские,Спинальная нейрохирургия,Вывих шейного позвонка,https://cr.minzdrav.gov.ru/preview-cr/809_1,""
Российские,Спинальная нейрохирургия,Первичные опухоли позвоночника,https://ruans.org/Text/Guidelines/vertebral_tumors.pdf,""
Российские,Спинальная нейрохирургия,Интрамедуллярные опухоли спинного мозга,https://ruans.org/Text/Guidelines/intramedullar_tumors.pdf,""
Российские,Спинальная нейрохирургия,Метастатическое поражение позвоночника,https://ruans.org/Text/Guidelines/spinal_metastasis.pdf,""
Российские,Спинальная нейрохирургия,Агрессивные гемангиомы позвонков,https://ruans.org/Text/Guidelines/vertebral_hemangioma.pdf,""
Российские,Спинальная нейрохирургия,Воспалительные заболевания позвоночника,https://ruans.org/Text/Guidelines/spine_infections.pdf,""
Российские,Функциональная нейрохирургия и Эпилепсия,Эпилепсия и эпилептический статус,https://cr.minzdrav.gov.ru/preview-cr/741_1,""
Российские,Функциональная нейрохирургия и Эпилепсия,Болезнь Паркинсона и паркинсонизм,https://cr.minzdrav.gov.ru/preview-cr/716_1,""
Российские,Функциональная нейрохирургия и Эпилепсия,Дистония,https://cr.minzdrav.gov.ru/preview-cr/867_1,""
Российские,Функциональная нейрохирургия и Эпилепсия,Синдромы сосудистой компрессии (тройничный нерв и др.),https://ruans.org/Text/Guidelines/cranial_nerves_vessel_compression.pdf,""
Российские,Функциональная нейрохирургия и Эпилепсия,Хронический нейропатический болевой синдром,https://ruans.org/Text/Guidelines/neuropathic_pain.pdf,""
